date,home_team,away_team,home_score,away_score,tournament,country
2022-06-12,Georgia,Bulgaria,0,0,UEFA Nations League,Georgia
2022-06-12,Malta,San Marino,1,0,UEFA Nations League,Malta
2022-06-12,Iran,Algeria,1,2,Friendly,Qatar
2022-06-13,Denmark,Austria,2,0,UEFA Nations League,Denmark
2022-06-13,France,Croatia,0,1,UEFA Nations League,France
2022-06-13,Iceland,Israel,2,2,UEFA Nations League,Iceland
2022-06-13,Azerbaijan,Belarus,2,0,UEFA Nations League,Azerbaijan
2022-06-13,Kazakhstan,Slovakia,2,1,UEFA Nations League,Kazakhstan
2022-06-13,Albania,Estonia,0,0,Friendly,Albania
2022-06-14,England,Hungary,0,4,UEFA Nations League,England
2022-06-14,Germany,Italy,5,2,UEFA Nations League,Germany
2022-06-14,Netherlands,Wales,3,2,UEFA Nations League,Netherlands
2022-06-14,Poland,Belgium,0,1,UEFA Nations League,Poland
2022-06-14,Armenia,Scotland,1,4,UEFA Nations League,Armenia
2022-06-14,Ukraine,Republic of Ireland,1,1,UEFA Nations League,Poland
2022-06-14,Bosnia and Herzegovina,Finland,3,2,UEFA Nations League,Bosnia and Herzegovina
2022-06-14,Romania,Montenegro,0,3,UEFA Nations League,Romania
2022-06-14,Luxembourg,Faroe Islands,2,2,UEFA Nations League,Luxembourg
2022-06-14,Turkey,Lithuania,2,0,UEFA Nations League,Turkey
2022-06-14,Moldova,Andorra,2,1,UEFA Nations League,Moldova
2022-06-14,Liechtenstein,Latvia,0,2,UEFA Nations League,Liechtenstein
2022-06-14,South Korea,Egypt,4,1,Friendly,South Korea
2022-07-16,Elba Island,Raetia,5,0,Friendly,Italy
2022-08-07,Raetia,Tibet,3,3,Friendly,Switzerland
2022-08-31,Mexico,Paraguay,0,1,Friendly,United States
2022-09-21,Brunei,Maldives,0,3,Friendly,Brunei
2022-09-21,Hong Kong,Myanmar,2,0,Friendly,Hong Kong
2022-09-21,Libya,Uganda,0,0,Friendly,Libya
2022-09-21,San Marino,Seychelles,0,0,Friendly,San Marino
2022-09-21,Vietnam,Singapore,4,0,Friendly,Vietnam
2022-09-21,Scotland,Ukraine,3,0,UEFA Nations League,Scotland
2022-09-22,Australia,New Zealand,1,0,Friendly,Australia
2022-09-22,Cambodia,Bangladesh,0,1,Friendly,Cambodia
2022-09-22,Comoros,Tunisia,0,1,Friendly,France
2022-09-22,Iceland,Venezuela,1,0,Friendly,Austria
2022-09-22,Suriname,Nicaragua,2,1,Friendly,Netherlands
2022-09-22,Croatia,Denmark,2,1,UEFA Nations League,Croatia
2022-09-22,France,Austria,2,0,UEFA Nations League,France
2022-09-22,Belgium,Wales,2,1,UEFA Nations League,Belgium
2022-09-22,Poland,Netherlands,0,2,UEFA Nations League,Poland
2022-09-22,Lithuania,Faroe Islands,1,1,UEFA Nations League,Lithuania
2022-09-22,Turkey,Luxembourg,3,3,UEFA Nations League,Turkey
2022-09-22,Kazakhstan,Belarus,2,1,UEFA Nations League,Kazakhstan
2022-09-22,Slovakia,Azerbaijan,1,2,UEFA Nations League,Slovakia
2022-09-22,Latvia,Moldova,1,2,UEFA Nations League,Latvia
2022-09-22,Liechtenstein,Andorra,0,2,UEFA Nations League,Liechtenstein
2022-09-23,Algeria,Guinea,1,0,Friendly,Algeria
2022-09-23,Argentina,Honduras,3,0,Friendly,United States
2022-09-23,Bahrain,Cape Verde,1,2,Friendly,Bahrain
2022-09-23,Brazil,Ghana,3,0,Friendly,France
2022-09-23,Cameroon,Uzbekistan,0,2,Friendly,South Korea
2022-09-23,Canada,Qatar,2,0,Friendly,Austria
2022-09-23,DR Congo,Burkina Faso,0,1,Friendly,Morocco
2022-09-23,Egypt,Niger,3,0,Friendly,Egypt
2022-09-23,Iran,Uruguay,1,0,Friendly,Austria
2022-09-23,South Korea,Costa Rica,2,2,Friendly,South Korea
2022-09-23,Mali,Zambia,1,0,Friendly,Mali
2022-09-23,Morocco,Chile,2,0,Friendly,Spain
2022-09-23,Paraguay,United Arab Emirates,1,0,Friendly,Austria
2022-09-23,Rwanda,Equatorial Guinea,0,0,Friendly,Egypt
2022-09-23,Saudi Arabia,Ecuador,0,0,Friendly,Spain
2022-09-23,Germany,Hungary,0,1,UEFA Nations League,Germany
2022-09-23,Italy,England,1,0,UEFA Nations League,Italy
2022-09-23,Bosnia and Herzegovina,Montenegro,1,0,UEFA Nations League,Bosnia and Herzegovina
2022-09-23,Finland,Romania,1,1,UEFA Nations League,Finland
2022-09-23,Georgia,North Macedonia,2,0,UEFA Nations League,Georgia
2022-09-23,Bulgaria,Gibraltar,5,1,UEFA Nations League,Bulgaria
2022-09-23,Estonia,Malta,2,1,UEFA Nations League,Estonia
2022-09-24,Bolivia,Senegal,0,2,Friendly,France
2022-09-24,Colombia,Guatemala,4,1,Friendly,United States
2022-09-24,Grenada,Saint Vincent and the Grenadines,1,3,Friendly,Grenada
2022-09-24,Hong Kong,Myanmar,0,0,Friendly,Hong Kong
2022-09-24,India,Singapore,1,1,Friendly,Vietnam
2022-09-24,Indonesia,Curaçao,3,2,Friendly,Indonesia
2022-09-24,Ivory Coast,Togo,2,1,Friendly,France
2022-09-24,Laos,Maldives,1,3,Friendly,Brunei
2022-09-24,Madagascar,Congo,3,3,Friendly,Morocco
2022-09-24,Mauritania,Benin,1,0,Friendly,Morocco
2022-09-24,Mexico,Peru,1,0,Friendly,United States
2022-09-24,South Africa,Sierra Leone,4,0,Friendly,South Africa
2022-09-24,Tanzania,Uganda,1,0,Friendly,Libya
2022-09-24,Kyrgyzstan,Russia,1,2,Friendly,Kyrgyzstan
2022-09-24,Czech Republic,Portugal,0,4,UEFA Nations League,Czech Republic
2022-09-24,Spain,Switzerland,1,2,UEFA Nations League,Spain
2022-09-24,Armenia,Ukraine,0,5,UEFA Nations League,Armenia
2022-09-24,Scotland,Republic of Ireland,2,1,UEFA Nations League,Scotland
2022-09-24,Israel,Albania,2,1,UEFA Nations League,Israel
2022-09-24,Slovenia,Norway,2,1,UEFA Nations League,Slovenia
2022-09-24,Serbia,Sweden,4,1,UEFA Nations League,Serbia
2022-09-24,Northern Ireland,Kosovo,2,1,UEFA Nations League,Northern Ireland
2022-09-24,Cyprus,Greece,1,0,UEFA Nations League,Cyprus
2022-09-25,New Zealand,Australia,0,2,Friendly,New Zealand
2022-09-25,Niger,Liberia,0,0,Friendly,Egypt
2022-09-25,Austria,Croatia,1,3,UEFA Nations League,Austria
2022-09-25,Denmark,France,2,0,UEFA Nations League,Denmark
2022-09-25,Wales,Poland,0,1,UEFA Nations League,Wales
2022-09-25,Netherlands,Belgium,1,0,UEFA Nations League,Netherlands
2022-09-25,Faroe Islands,Turkey,2,1,UEFA Nations League,Faroe Islands
2022-09-25,Luxembourg,Lithuania,1,0,UEFA Nations League,Luxembourg
2022-09-25,Slovakia,Belarus,1,1,UEFA Nations League,Serbia
2022-09-25,Azerbaijan,Kazakhstan,3,0,UEFA Nations League,Azerbaijan
2022-09-25,Andorra,Latvia,1,1,UEFA Nations League,Andorra
2022-09-25,Moldova,Liechtenstein,2,0,UEFA Nations League,Moldova
2022-09-26,Ethiopia,Sudan,2,2,Friendly,Ethiopia
2022-09-26,England,Germany,3,3,UEFA Nations League,England
2022-09-26,Hungary,Italy,0,2,UEFA Nations League,Hungary
2022-09-26,Montenegro,Finland,0,2,UEFA Nations League,Montenegro
2022-09-26,Romania,Bosnia and Herzegovina,4,1,UEFA Nations League,Romania
2022-09-26,Gibraltar,Georgia,1,2,UEFA Nations League,Gibraltar
2022-09-26,North Macedonia,Bulgaria,0,1,UEFA Nations League,North Macedonia
2022-09-26,San Marino,Estonia,0,4,UEFA Nations League,San Marino
2022-09-27,Algeria,Nigeria,2,1,Friendly,Algeria
2022-09-27,Argentina,Jamaica,3,0,Friendly,United States
2022-09-27,Bahrain,Panama,0,2,Friendly,Bahrain
2022-09-27,Brazil,Tunisia,5,1,Friendly,France
2022-09-27,Brunei,Laos,1,0,Friendly,Brunei
2022-09-27,Burkina Faso,Comoros,2,1,Friendly,Morocco
2022-09-27,Canada,Uruguay,0,2,Friendly,Slovakia
2022-09-27,DR Congo,Sierra Leone,3,0,Friendly,Morocco
2022-09-27,Costa Rica,Uzbekistan,2,1,Friendly,South Korea
2022-09-27,Egypt,Liberia,3,0,Friendly,Egypt
2022-09-27,Equatorial Guinea,Togo,2,2,Friendly,Morocco
2022-09-27,Ghana,Nicaragua,1,0,Friendly,Spain
2022-09-27,Honduras,Guatemala,2,1,Friendly,United States
2022-09-27,Indonesia,Curaçao,2,1,Friendly,Indonesia
2022-09-27,Iran,Senegal,1,1,Friendly,Austria
2022-09-27,Ivory Coast,Guinea,3,1,Friendly,France
2022-09-27,South Korea,Cameroon,1,0,Friendly,South Korea
2022-09-27,Libya,Tanzania,2,1,Friendly,Libya
2022-09-27,Madagascar,Benin,3,1,Friendly,Morocco
2022-09-27,Malta,Israel,2,1,Friendly,Malta
2022-09-27,Mauritania,Congo,2,0,Friendly,Morocco
2022-09-27,Mexico,Colombia,2,3,Friendly,United States
2022-09-27,Nepal,Bangladesh,3,1,Friendly,Nepal
2022-09-27,Paraguay,Morocco,0,0,Friendly,Spain
2022-09-27,Peru,El Salvador,4,1,Friendly,United States
2022-09-27,Qatar,Chile,2,2,Friendly,Austria
2022-09-27,Saudi Arabia,United States,0,0,Friendly,Spain
2022-09-27,South Africa,Botswana,1,0,Friendly,South Africa
2022-09-27,United Arab Emirates,Venezuela,0,4,Friendly,Austria
2022-09-27,Vietnam,India,3,0,Friendly,Vietnam
2022-09-27,Portugal,Spain,0,1,UEFA Nations League,Portugal
2022-09-27,Switzerland,Czech Republic,2,1,UEFA Nations League,Switzerland
2022-09-27,Republic of Ireland,Armenia,3,2,UEFA Nations League,Republic of Ireland
2022-09-27,Ukraine,Scotland,0,0,UEFA Nations League,Poland
2022-09-27,Albania,Iceland,1,1,UEFA Nations League,Albania
2022-09-27,Norway,Serbia,0,2,UEFA Nations League,Norway
2022-09-27,Sweden,Slovenia,1,1,UEFA Nations League,Sweden
2022-09-27,Kosovo,Cyprus,5,1,UEFA Nations League,Kosovo
2022-09-27,Greece,Northern Ireland,3,1,UEFA Nations League,Greece
2022-10-01,Saint Vincent and the Grenadines,Grenada,1,5,Friendly,Saint Vincent and the Grenadines
2022-10-22,Saudi Arabia,North Macedonia,1,0,Friendly,United Arab Emirates
