date,home,visitor,hgoal,vgoal,FT,Season,result
2019-10-20,CD Alaves,Celta Vigo,2,0,2-0,2019,H
2019-10-20,Real Sociedad,Real Betis,3,1,3-1,2019,H
2019-10-20,Espanyol Barcelona,Villarreal CF,0,1,0-1,2019,A
2019-10-20,Athletic Bilbao,Real Valladolid,1,1,1-1,2019,D
2019-10-20,Sevilla FC,Levante UD,1,0,1-0,2019,H
2019-10-25,Villarreal CF,CD Alaves,4,1,4-1,2019,H
2019-10-26,CD Leganes,RCD Mallorca,1,0,1-0,2019,H
2019-10-26,Real Valladolid,SD Eibar,2,0,2-0,2019,H
2019-10-26,Atletico Madrid,Athletic Bilbao,2,0,2-0,2019,H
2019-10-27,Celta Vigo,Real Sociedad,0,1,0-1,2019,A
2019-10-27,Granada CF,Real Betis,1,0,1-0,2019,H
2019-10-27,Levante UD,Espanyol Barcelona,0,1,0-1,2019,A
2019-10-27,Sevilla FC,Getafe CF,2,0,2-0,2019,H
2019-10-27,CA Osasuna,Valencia CF,3,1,3-1,2019,H
2019-10-29,CD Alaves,Atletico Madrid,1,1,1-1,2019,D
2019-10-29,FC Barcelona,Real Valladolid,5,1,5-1,2019,H
2019-10-30,Real Sociedad,Levante UD,1,2,1-2,2019,A
2019-10-30,Valencia CF,Sevilla FC,1,1,1-1,2019,D
2019-10-30,Athletic Bilbao,Espanyol Barcelona,3,0,3-0,2019,H
2019-10-30,Real Betis,Celta Vigo,2,1,2-1,2019,H
2019-10-30,Real Madrid,CD Leganes,5,0,5-0,2019,H
2019-10-31,SD Eibar,Villarreal CF,2,1,2-1,2019,H
2019-10-31,RCD Mallorca,CA Osasuna,2,2,2-2,2019,D
2019-10-31,Getafe CF,Granada CF,3,1,3-1,2019,H
2019-11-02,Espanyol Barcelona,Valencia CF,1,2,1-2,2019,A
2019-11-02,Levante UD,FC Barcelona,3,1,3-1,2019,H
2019-11-02,Sevilla FC,Atletico Madrid,1,1,1-1,2019,D
2019-11-02,Real Madrid,Real Betis,0,0,0-0,2019,D
2019-11-03,Real Valladolid,RCD Mallorca,3,0,3-0,2019,H
2019-11-03,Villarreal CF,Athletic Bilbao,0,0,0-0,2019,D
2019-11-03,CA Osasuna,CD Alaves,4,2,4-2,2019,H
2019-11-03,Celta Vigo,Getafe CF,0,1,0-1,2019,A
2019-11-03,CD Leganes,SD Eibar,1,2,1-2,2019,A
2019-11-03,Granada CF,Real Sociedad,1,2,1-2,2019,A
2019-11-08,Real Sociedad,CD Leganes,1,1,1-1,2019,D
2019-11-09,CD Alaves,Real Valladolid,3,0,3-0,2019,H
2019-11-09,Valencia CF,Granada CF,2,0,2-0,2019,H
2019-11-09,SD Eibar,Real Madrid,0,4,0-4,2019,A
2019-11-09,FC Barcelona,Celta Vigo,4,1,4-1,2019,H
2019-11-10,RCD Mallorca,Villarreal CF,3,1,3-1,2019,H
2019-11-10,Athletic Bilbao,Levante UD,2,1,2-1,2019,H
2019-11-10,Atletico Madrid,Espanyol Barcelona,3,1,3-1,2019,H
2019-11-10,Getafe CF,CA Osasuna,0,0,0-0,2019,D
2019-11-10,Real Betis,Sevilla FC,1,2,1-2,2019,A
2019-11-22,Levante UD,RCD Mallorca,2,1,2-1,2019,H
2019-11-23,CD Leganes,FC Barcelona,1,2,1-2,2019,A
2019-11-23,Real Betis,Valencia CF,2,1,2-1,2019,H
2019-11-23,Granada CF,Atletico Madrid,1,1,1-1,2019,D
2019-11-23,Real Madrid,Real Sociedad,3,1,3-1,2019,H
2019-11-24,Espanyol Barcelona,Getafe CF,1,1,1-1,2019,D
2019-11-24,CA Osasuna,Athletic Bilbao,1,2,1-2,2019,A
2019-11-24,SD Eibar,CD Alaves,0,2,0-2,2019,A
2019-11-24,Villarreal CF,Celta Vigo,1,3,1-3,2019,A
2019-11-24,Real Valladolid,Sevilla FC,0,1,0-1,2019,A
2019-11-29,Celta Vigo,Real Valladolid,0,0,0-0,2019,D
2019-11-30,CD Alaves,Real Madrid,1,2,1-2,2019,A
2019-11-30,Real Sociedad,SD Eibar,4,1,4-1,2019,H
2019-11-30,RCD Mallorca,Real Betis,1,2,1-2,2019,A
2019-11-30,Valencia CF,Villarreal CF,2,1,2-1,2019,H
2019-12-01,Sevilla FC,CD Leganes,1,0,1-0,2019,H
2019-12-01,Athletic Bilbao,Granada CF,2,0,2-0,2019,H
2019-12-01,Espanyol Barcelona,CA Osasuna,2,4,2-4,2019,A
2019-12-01,Getafe CF,Levante UD,4,0,4-0,2019,H
2019-12-01,Atletico Madrid,FC Barcelona,0,1,0-1,2019,A
2019-12-06,Villarreal CF,Atletico Madrid,0,0,0-0,2019,D
2019-12-07,Real Madrid,Espanyol Barcelona,2,0,2-0,2019,H
2019-12-07,Granada CF,CD Alaves,3,0,3-0,2019,H
2019-12-07,Levante UD,Valencia CF,2,4,2-4,2019,A
2019-12-07,FC Barcelona,RCD Mallorca,5,2,5-2,2019,H
2019-12-08,SD Eibar,Getafe CF,0,1,0-1,2019,A
2019-12-08,Real Betis,Athletic Bilbao,3,2,3-2,2019,H
2019-12-08,Real Valladolid,Real Sociedad,0,0,0-0,2019,D
2019-12-08,CD Leganes,Celta Vigo,3,2,3-2,2019,H
2019-12-08,CA Osasuna,Sevilla FC,1,1,1-1,2019,D
2019-12-13,CD Alaves,CD Leganes,1,1,1-1,2019,D
2019-12-14,Granada CF,Levante UD,1,2,1-2,2019,A
2019-12-14,Real Sociedad,FC Barcelona,2,2,2-2,2019,D
2019-12-14,Athletic Bilbao,SD Eibar,0,0,0-0,2019,D
2019-12-14,Atletico Madrid,CA Osasuna,2,0,2-0,2019,H
2019-12-15,Getafe CF,Real Valladolid,2,0,2-0,2019,H
2019-12-15,Celta Vigo,RCD Mallorca,2,2,2-2,2019,D
2019-12-15,Espanyol Barcelona,Real Betis,2,2,2-2,2019,D
2019-12-15,Sevilla FC,Villarreal CF,1,2,1-2,2019,A
2019-12-15,Valencia CF,Real Madrid,1,1,1-1,2019,D
2019-12-18,FC Barcelona,Real Madrid,0,0,0-0,2019,D
2019-12-20,SD Eibar,Granada CF,3,0,3-0,2019,H
2019-12-21,RCD Mallorca,Sevilla FC,0,2,0-2,2019,A
2019-12-21,FC Barcelona,CD Alaves,4,1,4-1,2019,H
2019-12-21,Villarreal CF,Getafe CF,1,0,1-0,2019,H
2019-12-21,Real Valladolid,Valencia CF,1,1,1-1,2019,D
2019-12-22,CD Leganes,Espanyol Barcelona,2,0,2-0,2019,H
2019-12-22,CA Osasuna,Real Sociedad,3,4,3-4,2019,A
2019-12-22,Real Betis,Atletico Madrid,1,2,1-2,2019,A
2019-12-22,Levante UD,Celta Vigo,3,1,3-1,2019,H
2019-12-22,Real Madrid,Athletic Bilbao,0,0,0-0,2019,D
2020-01-03,Real Valladolid,CD Leganes,2,2,2-2,2019,D
2020-01-03,Sevilla FC,Athletic Bilbao,1,1,1-1,2019,D
2020-01-04,Valencia CF,SD Eibar,1,0,1-0,2019,H
2020-01-04,Getafe CF,Real Madrid,0,3,0-3,2019,A
2020-01-04,Atletico Madrid,Levante UD,2,1,2-1,2019,H
